model,q_over_M,a_over_M,branch,branch_label,A_Kerr,B_Kerr,Omega_Kerr_abs,lambda_Kerr,Omega_perturbed,lambda_perturbed
toy_rotating_residual_placeholder,0.0,0.0,1,prograde,0.0,-0.0,0.19245008972987526,0.19245028761371005,0.19245008972987526,0.19245028761371005
toy_rotating_residual_placeholder,0.004430379746835442,0.0,1,prograde,1.5702611760935743e-06,-1.0795545585643322e-06,0.19245008972987526,0.19245028761371005,0.1924503919267795,0.19245007985312476
toy_rotating_residual_placeholder,0.008860759493670885,0.0,1,prograde,6.281044704374297e-06,-4.318218234257329e-06,0.19245008972987526,0.19245028761371005,0.1924512985174922,0.1924494565713689
toy_rotating_residual_placeholder,0.013291139240506327,0.0,1,prograde,1.413235058484217e-05,-9.715991027078991e-06,0.19245008972987526,0.19245028761371005,0.1924528095020134,0.19244841776844243
toy_rotating_residual_placeholder,0.01772151898734177,0.0,1,prograde,2.512417881749719e-05,-1.7272872937029316e-05,0.19245008972987526,0.19245028761371005,0.19245492488034305,0.1924469634443454
toy_rotating_residual_placeholder,0.022151898734177212,0.0,1,prograde,3.925652940233936e-05,-2.698886396410831e-05,0.19245008972987526,0.19245028761371005,0.19245764465248122,0.1924450935990778
toy_rotating_residual_placeholder,0.026582278481012654,0.0,1,prograde,5.652940233936868e-05,-3.8863964108315965e-05,0.19245008972987526,0.19245028761371005,0.19246096881842784,0.1924428082326396
toy_rotating_residual_placeholder,0.031012658227848097,0.0,1,prograde,7.694279762858514e-05,-5.289817336965229e-05,0.19245008972987526,0.19245028761371005,0.19246489737818295,0.19244010734503084
toy_rotating_residual_placeholder,0.03544303797468354,0.0,1,prograde,0.00010049671526998875,-6.909149174811726e-05,0.19245008972987526,0.19245028761371005,0.19246943033174654,0.19243699093625147
toy_rotating_residual_placeholder,0.03987341772151898,0.0,1,prograde,0.0001271911552635795,-8.74439192437109e-05,0.19245008972987526,0.19245028761371005,0.19247456767911858,0.19243345900630152
toy_rotating_residual_placeholder,0.044303797468354424,0.0,1,prograde,0.00015702611760935744,-0.00010795545585643324,0.19245008972987526,0.19245028761371005,0.19248030942029912,0.192429511555181
toy_rotating_residual_placeholder,0.04873417721518987,0.0,1,prograde,0.0001900016023073225,-0.00013062610158628423,0.19245008972987526,0.19245028761371005,0.19248665555528813,0.19242514858288992
toy_rotating_residual_placeholder,0.05316455696202531,0.0,1,prograde,0.0002261176093574747,-0.00015545585643326386,0.19245008972987526,0.19245028761371005,0.1924936060840856,0.19242037008942822
toy_rotating_residual_placeholder,0.05759493670886075,0.0,1,prograde,0.000265374138759814,-0.00018244472039737213,0.19245008972987526,0.19245028761371005,0.19250116100669157,0.19241517607479597
toy_rotating_residual_placeholder,0.06202531645569619,0.0,1,prograde,0.00030777119051434055,-0.00021159269347860915,0.19245008972987526,0.19245028761371005,0.19250932032310603,0.19240956653899313
toy_rotating_residual_placeholder,0.06645569620253164,0.0,1,prograde,0.0003533087646210543,-0.0002428997756769748,0.19245008972987526,0.19245028761371005,0.19251808403332893,0.1924035414820197
toy_rotating_residual_placeholder,0.07088607594936708,0.0,1,prograde,0.000401986861079955,-0.00027636596699246905,0.19245008972987526,0.19245028761371005,0.19252745213736036,0.1923971009038757
toy_rotating_residual_placeholder,0.07531645569620252,0.0,1,prograde,0.0004538054798910429,-0.000311991267425092,0.19245008972987526,0.19245028761371005,0.1925374246352002,0.19239024480456113
toy_rotating_residual_placeholder,0.07974683544303796,0.0,1,prograde,0.000508764621054318,-0.0003497756769748436,0.19245008972987526,0.19245028761371005,0.19254800152684856,0.19238297318407596
toy_rotating_residual_placeholder,0.08417721518987341,0.0,1,prograde,0.0005668642845697803,-0.00038971919564172397,0.19245008972987526,0.19245028761371005,0.19255918281230539,0.19237528604242024
toy_rotating_residual_placeholder,0.08860759493670885,0.0,1,prograde,0.0006281044704374298,-0.00043182182342573296,0.19245008972987526,0.19245028761371005,0.19257096849157068,0.1923671833795939
toy_rotating_residual_placeholder,0.09303797468354429,0.0,1,prograde,0.0006924851786572662,-0.00047608356032687054,0.19245008972987526,0.19245028761371005,0.19258335856464445,0.19235866519559697
toy_rotating_residual_placeholder,0.09746835443037974,0.0,1,prograde,0.00076000640922929,-0.0005225044063451369,0.19245008972987526,0.19245028761371005,0.19259635303152672,0.1923497314904295
toy_rotating_residual_placeholder,0.10189873417721518,0.0,1,prograde,0.0008306681621535009,-0.0005710843614805318,0.19245008972987526,0.19245028761371005,0.19260995189221744,0.19234038226409142
toy_rotating_residual_placeholder,0.10632911392405062,0.0,1,prograde,0.0009044704374298988,-0.0006218234257330554,0.19245008972987526,0.19245028761371005,0.19262415514671666,0.19233061751658279
